Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,Loyal Customer,49,Business travel,Eco Plus,102,3,5,3,3,3,3,3,3,3,4,3,4,3,3,15,30.0,neutral or dissatisfied
Female,Loyal Customer,28,Personal Travel,Eco,129,1,3,1,3,3,1,5,3,3,1,3,1,4,3,0,18.0,neutral or dissatisfied
Female,Loyal Customer,9,Personal Travel,Eco,473,1,5,1,4,5,1,5,5,4,3,1,4,4,5,16,12.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Eco Plus,228,2,1,1,1,3,2,3,3,3,2,3,1,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,77,Business travel,Business,1625,3,3,4,3,3,2,2,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,32,Business travel,Eco Plus,1046,3,3,5,3,3,2,3,3,1,2,3,1,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,66,Personal Travel,Eco,1072,1,4,1,3,4,1,4,4,4,3,4,5,5,4,12,10.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,2784,5,5,5,5,4,5,5,4,4,4,4,5,4,4,0,5.0,satisfied
Female,Loyal Customer,36,Business travel,Business,2903,1,4,4,4,2,3,4,1,1,1,1,2,1,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,7,Personal Travel,Eco,479,2,3,2,4,2,2,2,2,2,5,3,1,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,2446,5,5,5,5,2,3,5,5,5,5,5,4,5,5,0,0.0,satisfied
Male,Loyal Customer,38,Business travel,Business,444,1,5,5,5,5,4,4,1,1,1,1,1,1,3,13,10.0,neutral or dissatisfied
Female,Loyal Customer,38,Personal Travel,Eco,1310,2,4,2,4,5,2,1,5,5,4,5,5,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Personal Travel,Eco,717,3,5,3,2,4,3,1,4,4,2,4,5,4,4,97,86.0,neutral or dissatisfied
Male,Loyal Customer,28,Business travel,Business,1197,1,1,1,1,5,5,5,5,5,4,5,4,4,5,1,0.0,satisfied
Male,Loyal Customer,49,Business travel,Business,733,4,4,4,4,3,5,5,4,4,4,4,5,4,3,0,2.0,satisfied
Male,Loyal Customer,32,Business travel,Business,2522,1,0,0,3,4,0,4,4,1,5,4,3,3,4,8,6.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,888,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,0.0,satisfied
Male,Loyal Customer,23,Business travel,Business,3257,3,1,4,1,3,3,3,3,2,5,3,3,3,3,37,73.0,neutral or dissatisfied
Male,Loyal Customer,35,Personal Travel,Eco Plus,456,2,4,2,1,3,2,3,3,3,2,5,4,4,3,62,81.0,neutral or dissatisfied
Male,disloyal Customer,48,Business travel,Business,1660,4,4,4,2,4,4,4,4,4,2,3,3,5,4,11,0.0,satisfied
Female,Loyal Customer,40,Business travel,Business,409,5,5,5,5,3,4,5,5,5,5,5,3,5,4,0,0.0,satisfied
Male,Loyal Customer,30,Business travel,Business,1069,2,1,1,1,2,2,2,2,3,2,3,4,3,2,0,14.0,neutral or dissatisfied
Female,Loyal Customer,33,Personal Travel,Eco,444,4,4,4,2,2,4,2,2,3,5,4,4,5,2,0,1.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,2987,2,2,2,2,5,4,5,3,3,3,3,4,3,5,0,3.0,satisfied
Female,Loyal Customer,57,Business travel,Business,3131,1,1,1,1,2,5,5,5,5,5,5,3,5,4,24,0.0,satisfied
Female,disloyal Customer,50,Personal Travel,Eco,1726,2,5,2,2,3,2,3,3,2,5,2,4,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,184,3,4,3,3,1,3,1,1,3,1,3,3,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,19,Business travel,Eco Plus,250,2,4,3,4,2,2,3,2,3,2,3,2,4,2,0,0.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Eco,164,1,3,1,3,4,1,4,4,3,3,3,2,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Eco,679,2,1,1,1,4,3,3,3,3,2,3,2,3,1,77,60.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,295,3,3,3,3,5,4,4,5,5,5,5,3,5,5,9,0.0,satisfied
Female,Loyal Customer,49,Personal Travel,Eco,214,2,4,2,1,3,5,5,3,3,2,2,4,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,29,Personal Travel,Eco,1208,2,1,2,2,2,2,2,2,4,1,2,4,2,2,7,3.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,2969,2,2,2,2,4,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
Female,Loyal Customer,49,Business travel,Eco,447,4,2,2,2,1,3,5,4,4,4,4,2,4,5,15,5.0,satisfied
Female,Loyal Customer,25,Business travel,Eco,1773,2,5,5,5,2,2,2,2,3,2,4,3,4,2,61,33.0,neutral or dissatisfied
Male,disloyal Customer,24,Business travel,Eco,337,4,5,4,2,2,4,2,2,3,2,5,4,4,2,0,10.0,satisfied
Male,disloyal Customer,28,Business travel,Business,453,5,5,5,1,3,4,2,3,4,2,4,5,4,3,13,8.0,satisfied
Female,Loyal Customer,63,Personal Travel,Eco,679,3,4,3,2,3,4,5,1,1,3,1,4,1,5,8,0.0,neutral or dissatisfied
Female,Loyal Customer,63,Business travel,Eco,746,2,2,2,2,4,2,3,2,2,2,2,2,2,2,35,20.0,neutral or dissatisfied
Male,disloyal Customer,26,Business travel,Business,1303,2,2,2,4,4,2,4,4,3,5,4,4,5,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,24,Personal Travel,Eco,191,4,4,4,1,2,4,2,2,4,4,5,5,5,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,75,Business travel,Business,2041,4,3,3,3,5,3,3,4,4,4,4,4,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,32,Business travel,Eco Plus,903,3,1,5,1,3,3,3,3,2,1,4,1,4,3,57,40.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,2724,3,3,3,3,3,2,5,5,5,5,3,4,5,5,0,0.0,satisfied
Female,Loyal Customer,30,Business travel,Business,589,5,5,5,5,2,2,2,2,5,4,4,4,4,2,0,0.0,satisfied
Female,Loyal Customer,9,Personal Travel,Eco Plus,349,4,5,3,5,5,3,5,5,4,5,5,3,4,5,0,0.0,neutral or dissatisfied
Female,disloyal Customer,16,Business travel,Eco,289,0,0,0,3,2,0,2,2,3,5,4,5,4,2,0,0.0,satisfied
Female,Loyal Customer,17,Business travel,Eco Plus,950,4,4,3,4,4,4,4,4,4,5,3,4,5,4,0,0.0,satisfied
Male,Loyal Customer,26,Business travel,Eco Plus,2599,1,3,3,3,1,1,2,1,3,3,3,2,4,1,15,6.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,3585,3,3,3,3,1,4,4,3,3,3,3,4,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,18,Personal Travel,Eco,1044,2,4,2,3,1,2,1,1,3,5,4,2,4,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,44,Business travel,Business,1754,2,3,3,2,4,2,2,4,4,2,3,3,5,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,3183,1,1,1,1,5,4,3,1,1,1,1,3,1,1,102,100.0,neutral or dissatisfied
Female,Loyal Customer,60,Personal Travel,Eco,214,3,2,0,4,1,4,4,1,1,0,1,1,1,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,140,1,1,1,2,4,1,4,4,4,4,5,5,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,1535,1,2,2,2,5,4,4,1,1,1,1,4,1,4,3,0.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,2586,1,2,2,2,2,3,2,1,1,1,1,4,1,1,18,0.0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Eco Plus,447,5,5,5,5,5,5,5,5,2,3,1,5,1,5,0,0.0,satisfied
Female,Loyal Customer,53,Business travel,Business,628,2,2,2,2,4,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
Female,Loyal Customer,39,Personal Travel,Eco,2475,3,1,3,2,3,1,1,1,2,2,3,1,4,1,376,382.0,neutral or dissatisfied
Male,Loyal Customer,11,Personal Travel,Eco,321,2,3,5,4,2,5,2,2,3,2,4,3,3,2,33,13.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,2739,2,2,2,2,3,2,2,4,4,4,4,2,4,5,0,0.0,satisfied
Male,Loyal Customer,55,Personal Travel,Eco,159,5,5,5,1,3,5,3,3,5,3,5,3,5,3,0,6.0,satisfied
Female,Loyal Customer,45,Business travel,Business,3340,5,5,5,5,4,2,3,4,4,4,4,1,4,5,0,0.0,satisfied
Male,Loyal Customer,30,Personal Travel,Eco,290,4,4,2,1,4,2,4,4,3,4,5,3,4,4,0,0.0,satisfied
Female,disloyal Customer,47,Business travel,Eco,143,1,2,1,4,2,1,2,2,3,1,4,4,4,2,39,25.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,3993,4,4,4,4,4,5,5,5,5,5,4,5,5,5,0,0.0,satisfied
Male,Loyal Customer,42,Business travel,Business,3309,4,3,3,3,4,3,3,4,4,4,4,1,4,3,62,60.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,2556,3,4,4,4,3,3,3,3,5,4,3,3,3,3,14,50.0,neutral or dissatisfied
Female,Loyal Customer,59,Business travel,Business,1076,4,4,4,4,5,5,4,5,5,4,5,3,5,4,0,2.0,satisfied
Female,Loyal Customer,24,Personal Travel,Eco,354,1,4,1,4,3,1,3,3,5,2,5,4,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,14,Personal Travel,Business,552,4,1,5,3,5,5,5,5,3,4,4,2,3,5,0,0.0,satisfied
Male,Loyal Customer,53,Personal Travel,Eco,448,3,4,3,3,2,3,2,2,4,3,3,1,4,2,16,1.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Business,1749,4,4,4,4,5,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
Female,Loyal Customer,42,Business travel,Business,185,2,2,2,2,3,5,5,4,4,4,4,4,4,4,0,0.0,satisfied
Female,Loyal Customer,46,Business travel,Business,3498,2,2,2,2,5,5,4,4,4,4,4,4,4,3,5,0.0,satisfied
Male,Loyal Customer,53,Business travel,Business,170,4,4,4,4,5,4,5,4,4,4,3,3,4,5,14,2.0,satisfied
Male,Loyal Customer,43,Business travel,Business,479,4,3,4,4,5,5,5,5,3,4,5,5,5,5,272,267.0,satisfied
Male,Loyal Customer,38,Business travel,Business,2686,2,5,3,3,3,2,3,2,2,2,2,2,2,2,0,8.0,neutral or dissatisfied
Female,Loyal Customer,32,Business travel,Business,342,3,3,2,3,4,4,4,4,4,2,5,3,4,4,1,0.0,satisfied
Female,Loyal Customer,55,Business travel,Business,1792,1,1,1,1,3,5,4,5,5,5,5,5,5,4,0,11.0,satisfied
Male,Loyal Customer,51,Personal Travel,Eco Plus,850,1,5,1,1,3,1,1,3,4,2,5,3,4,3,5,0.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Business,937,5,0,5,3,2,5,2,2,4,4,4,4,4,2,31,39.0,satisfied
Female,Loyal Customer,25,Personal Travel,Eco,4963,2,5,2,4,2,5,2,5,3,4,4,2,3,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,45,Business travel,Business,1389,5,5,5,5,5,4,5,5,5,5,5,5,5,3,25,7.0,satisfied
Female,Loyal Customer,28,Business travel,Eco Plus,946,2,5,5,5,2,2,2,2,4,4,3,2,4,2,46,65.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Eco Plus,746,3,5,5,5,3,3,3,3,5,3,4,3,2,3,191,239.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,920,0,0,0,4,2,0,2,2,5,4,3,4,5,2,0,0.0,satisfied
Male,Loyal Customer,53,Business travel,Business,1855,3,3,3,3,2,4,4,4,4,4,4,5,4,5,0,0.0,satisfied
Male,Loyal Customer,26,Personal Travel,Eco,922,1,4,1,2,4,1,4,4,4,1,5,5,3,4,63,67.0,neutral or dissatisfied
Male,disloyal Customer,39,Business travel,Business,187,1,1,1,2,3,1,5,3,4,4,4,3,4,3,18,17.0,neutral or dissatisfied
Male,Loyal Customer,27,Business travel,Business,1080,5,5,5,5,5,4,5,5,4,3,2,3,1,5,20,17.0,satisfied
Female,Loyal Customer,37,Personal Travel,Eco,122,1,4,1,2,3,1,3,3,5,1,2,1,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Personal Travel,Eco,328,0,0,0,3,2,0,2,2,5,4,5,5,4,2,0,0.0,satisfied
Male,Loyal Customer,51,Personal Travel,Eco,370,3,5,3,3,2,3,3,2,5,1,5,2,1,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,1476,4,4,4,4,4,4,4,4,1,3,1,4,4,4,149,148.0,satisfied
Male,Loyal Customer,51,Business travel,Business,2283,3,3,3,3,2,4,4,4,4,4,4,5,4,3,0,1.0,satisfied
Female,Loyal Customer,59,Business travel,Business,2331,1,1,2,1,2,5,4,5,5,5,5,4,5,5,0,12.0,satisfied
Female,Loyal Customer,8,Personal Travel,Eco,1379,3,1,3,2,5,3,5,5,3,5,2,1,1,5,7,11.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,1389,5,5,5,5,4,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
Male,Loyal Customer,22,Business travel,Business,907,5,5,5,5,4,4,4,4,3,2,4,4,5,4,0,13.0,satisfied
Male,Loyal Customer,38,Personal Travel,Eco Plus,388,2,5,2,1,4,2,3,4,4,3,4,4,5,4,11,21.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Business,1734,2,1,1,1,3,3,4,4,4,4,2,3,4,1,1,0.0,neutral or dissatisfied
Female,Loyal Customer,7,Personal Travel,Eco,687,4,5,4,1,5,4,5,5,3,5,4,5,5,5,0,0.0,satisfied
Male,Loyal Customer,27,Personal Travel,Eco,654,2,5,2,3,2,2,2,2,5,3,4,4,5,2,25,16.0,neutral or dissatisfied
Male,Loyal Customer,66,Business travel,Business,233,1,4,4,4,2,3,3,1,1,1,1,1,1,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,77,Business travel,Eco Plus,1448,2,5,5,5,2,2,2,2,3,2,4,3,3,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,Business travel,Eco,995,3,3,3,3,5,3,5,5,4,1,3,1,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Eco Plus,4243,2,5,5,5,3,2,2,4,5,3,3,2,3,2,16,13.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,1065,4,4,4,3,5,4,5,5,4,2,3,3,4,5,7,0.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,1276,3,3,3,1,5,3,5,5,5,5,4,3,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Business,733,2,2,2,2,2,5,4,2,2,2,2,3,2,5,7,5.0,satisfied
Male,disloyal Customer,20,Business travel,Eco,894,0,0,0,5,2,0,2,2,4,5,1,1,3,2,40,38.0,satisfied
Female,Loyal Customer,47,Business travel,Business,1781,5,5,5,5,2,5,5,5,5,4,5,5,5,4,0,0.0,satisfied
Male,Loyal Customer,36,Personal Travel,Eco,997,1,5,1,3,1,1,1,1,4,3,4,3,5,1,0,4.0,neutral or dissatisfied
Female,Loyal Customer,63,Personal Travel,Eco,829,1,4,1,4,4,4,5,2,2,1,2,3,2,4,14,7.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,283,5,5,5,5,4,4,4,4,4,4,4,4,4,5,19,10.0,satisfied
Female,Loyal Customer,54,Business travel,Business,2137,3,3,3,3,2,5,5,5,5,5,5,4,5,5,79,62.0,satisfied
Male,Loyal Customer,30,Personal Travel,Eco Plus,493,3,3,3,3,3,3,3,3,2,1,3,3,3,3,0,5.0,neutral or dissatisfied
Male,Loyal Customer,53,Personal Travel,Eco,1258,4,5,4,3,5,4,4,5,4,3,4,3,5,5,33,54.0,satisfied
Female,Loyal Customer,29,Personal Travel,Eco,226,4,1,0,2,4,0,4,4,1,2,3,3,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,66,Business travel,Business,1744,4,1,3,1,1,1,2,4,4,4,4,3,4,1,0,1.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Eco,1190,5,1,1,1,5,5,5,5,3,5,5,4,3,5,0,0.0,satisfied
Female,Loyal Customer,8,Business travel,Eco,570,1,3,3,3,1,1,1,1,1,4,4,4,4,1,0,2.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,542,2,2,2,4,4,2,4,4,4,2,3,1,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,21,Personal Travel,Eco,404,1,5,1,3,3,1,3,3,4,3,4,4,4,3,88,94.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,432,4,3,4,4,5,4,4,3,3,3,3,3,3,3,0,0.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,837,4,4,4,2,5,4,5,5,3,2,5,3,4,5,2,20.0,satisfied
Female,Loyal Customer,21,Business travel,Business,1728,2,2,2,2,2,2,2,2,2,3,1,4,1,2,29,27.0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,2933,0,5,0,3,4,4,1,3,3,3,3,2,3,2,0,0.0,satisfied
Male,Loyal Customer,64,Business travel,Business,3656,3,4,4,4,3,3,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,61,Business travel,Business,500,4,4,5,4,3,4,4,5,5,5,5,3,5,4,2,2.0,satisfied
Male,Loyal Customer,31,Business travel,Business,2406,3,3,3,3,4,4,4,4,4,3,4,3,4,4,6,0.0,satisfied
Male,Loyal Customer,48,Business travel,Business,2349,5,5,5,5,5,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
Male,Loyal Customer,9,Personal Travel,Eco,853,1,3,1,3,3,1,3,3,2,1,1,1,4,3,39,36.0,neutral or dissatisfied
Male,Loyal Customer,53,Personal Travel,Eco,712,3,3,3,4,5,3,5,5,5,1,5,2,4,5,0,0.0,neutral or dissatisfied
Female,disloyal Customer,36,Business travel,Business,1389,2,2,2,2,5,2,5,5,5,2,5,5,5,5,2,0.0,neutral or dissatisfied
Male,disloyal Customer,42,Business travel,Business,224,3,3,3,1,4,3,4,4,3,1,4,3,1,4,60,55.0,neutral or dissatisfied
Female,Loyal Customer,54,Business travel,Business,2400,5,5,5,5,5,4,5,4,4,4,4,3,4,5,43,25.0,satisfied
Female,Loyal Customer,40,Business travel,Business,2334,2,2,2,2,5,4,4,5,5,5,5,3,5,4,50,54.0,satisfied
Male,Loyal Customer,58,Business travel,Eco,503,5,3,3,3,5,5,5,5,1,1,2,3,4,5,2,0.0,satisfied
Female,Loyal Customer,49,Business travel,Business,3623,3,3,5,3,2,4,5,5,5,5,5,3,5,4,56,40.0,satisfied
Female,Loyal Customer,39,Business travel,Business,3784,4,4,4,4,5,5,4,5,5,5,5,4,5,3,0,0.0,satisfied
Female,disloyal Customer,33,Business travel,Business,631,2,3,3,2,1,3,2,1,4,2,4,5,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,61,Personal Travel,Eco,597,3,5,3,5,1,5,5,5,5,3,5,4,5,5,19,7.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,1979,2,2,2,2,3,4,5,2,2,2,2,3,2,3,0,2.0,satisfied
Male,Loyal Customer,66,Personal Travel,Eco,86,3,2,3,4,3,3,3,3,1,2,4,3,4,3,6,4.0,neutral or dissatisfied
Female,Loyal Customer,18,Personal Travel,Eco,583,2,5,2,3,5,2,5,5,5,4,5,3,5,5,37,26.0,neutral or dissatisfied
Male,Loyal Customer,57,Business travel,Business,427,5,5,5,5,4,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
Female,Loyal Customer,27,Business travel,Business,1756,3,4,4,4,3,3,3,3,3,5,3,4,2,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,26,Personal Travel,Eco,1055,2,4,3,1,3,3,3,3,3,3,5,3,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,29,Personal Travel,Eco,328,5,3,5,2,1,5,1,1,2,1,3,2,2,1,9,8.0,satisfied
Male,Loyal Customer,51,Business travel,Business,1901,3,3,3,3,3,5,4,4,4,4,5,3,4,5,0,0.0,satisfied
Male,Loyal Customer,66,Personal Travel,Eco,358,2,5,2,3,1,2,1,1,3,4,4,4,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Eco,1276,2,4,4,4,2,2,2,3,2,3,3,2,1,2,133,157.0,neutral or dissatisfied
Male,Loyal Customer,25,Business travel,Business,990,4,4,4,4,5,5,5,5,1,1,4,2,2,5,0,0.0,satisfied
Female,Loyal Customer,31,Personal Travel,Business,1754,1,2,2,4,2,2,2,2,4,1,4,3,3,2,12,2.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,1812,1,1,1,1,5,4,5,5,5,5,5,3,5,1,1,0.0,satisfied
Male,Loyal Customer,41,Business travel,Business,1592,2,2,2,2,4,4,4,2,2,2,2,5,2,5,11,3.0,satisfied
Female,Loyal Customer,35,Business travel,Business,159,1,3,3,3,5,3,4,3,3,3,1,3,3,2,8,15.0,neutral or dissatisfied
Male,Loyal Customer,56,Personal Travel,Eco,1014,2,2,2,3,2,2,2,2,4,3,4,1,3,2,25,9.0,neutral or dissatisfied
Male,disloyal Customer,32,Business travel,Eco,208,3,4,3,3,2,3,2,2,2,2,3,4,4,2,116,,neutral or dissatisfied
Female,Loyal Customer,17,Personal Travel,Eco,802,3,4,3,3,2,3,2,2,4,2,5,2,4,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,44,Business travel,Eco,1448,2,2,2,5,5,2,5,5,1,5,4,1,1,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,40,Personal Travel,Eco,431,2,1,2,4,1,2,1,1,1,4,4,2,3,1,9,29.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,239,4,1,4,4,4,4,4,4,2,3,4,2,3,4,57,39.0,neutral or dissatisfied
Female,Loyal Customer,13,Personal Travel,Eco,403,2,3,2,2,1,2,1,1,5,2,1,2,5,1,0,4.0,neutral or dissatisfied
Female,disloyal Customer,34,Business travel,Eco,425,4,1,3,1,4,3,4,4,2,2,2,3,2,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,1587,3,3,3,3,5,4,4,5,5,5,5,5,5,4,57,47.0,satisfied
Male,Loyal Customer,36,Business travel,Business,3958,1,1,1,1,2,4,4,5,5,5,5,3,5,4,4,3.0,satisfied
Female,Loyal Customer,28,Personal Travel,Eco Plus,2409,3,4,3,3,2,3,2,2,3,1,4,4,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,21,Business travel,Business,1041,1,1,1,1,4,4,4,4,2,5,4,4,4,4,0,12.0,satisfied
Female,Loyal Customer,14,Personal Travel,Eco,305,4,5,4,2,3,4,3,3,4,5,4,2,1,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,Business travel,Business,954,2,2,2,2,2,3,1,4,4,4,4,2,4,4,3,0.0,satisfied
Female,Loyal Customer,54,Business travel,Business,1773,1,1,1,1,5,3,5,4,4,4,4,3,4,5,0,0.0,satisfied
Male,disloyal Customer,24,Business travel,Business,1020,4,0,5,2,1,5,1,1,3,5,5,3,4,1,0,0.0,satisfied
Male,disloyal Customer,36,Business travel,Business,468,4,4,4,4,2,4,2,2,5,2,5,5,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,Business travel,Business,2516,1,1,1,1,2,2,3,4,4,4,4,4,4,1,1,0.0,satisfied
Female,Loyal Customer,69,Business travel,Business,2410,3,4,4,4,1,3,4,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,65,Personal Travel,Eco,226,0,4,0,4,5,0,4,5,4,4,4,5,4,5,0,0.0,satisfied
Female,disloyal Customer,33,Business travel,Eco,999,3,3,3,4,1,3,1,1,1,4,3,1,4,1,33,19.0,neutral or dissatisfied
Male,Loyal Customer,27,Personal Travel,Eco,255,4,4,4,4,4,4,4,4,5,4,1,1,1,4,39,43.0,neutral or dissatisfied
Male,disloyal Customer,24,Business travel,Business,787,0,4,0,1,5,0,5,5,3,4,5,3,5,5,25,11.0,satisfied
Female,disloyal Customer,42,Business travel,Business,407,4,4,4,3,3,4,3,3,4,2,4,4,4,3,6,0.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,416,1,2,1,4,1,1,1,1,4,2,4,1,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,24,Business travel,Business,2919,5,5,5,5,5,4,5,5,2,3,3,4,3,5,33,39.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,3927,4,4,4,4,2,5,4,3,3,4,3,5,3,4,32,18.0,satisfied
Male,Loyal Customer,47,Business travel,Business,1558,4,4,5,4,5,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
Female,Loyal Customer,24,Business travel,Business,1464,2,2,2,2,4,4,4,4,1,4,5,1,3,4,0,0.0,satisfied
Female,disloyal Customer,39,Business travel,Business,580,4,4,4,4,5,4,1,5,3,4,4,3,5,5,44,38.0,satisfied
Female,Loyal Customer,30,Business travel,Business,2303,3,5,3,3,2,2,2,2,4,4,2,3,1,2,0,0.0,satisfied
Male,disloyal Customer,12,Business travel,Eco,1188,3,3,3,3,3,3,3,3,1,5,3,1,3,3,22,29.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Business,271,4,0,4,3,2,4,2,2,2,5,1,1,2,2,50,45.0,satisfied
Male,Loyal Customer,54,Business travel,Business,2392,2,2,2,2,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
Male,Loyal Customer,46,Business travel,Business,3531,4,4,4,4,5,5,5,5,5,5,5,4,5,5,8,0.0,satisfied
Male,Loyal Customer,46,Business travel,Business,1737,5,5,5,5,5,4,4,4,4,4,4,4,4,4,0,0.0,satisfied
Female,Loyal Customer,9,Personal Travel,Eco,2065,1,4,1,1,1,2,2,4,5,4,4,2,3,2,144,117.0,neutral or dissatisfied
Female,Loyal Customer,62,Personal Travel,Eco,819,2,4,2,2,4,3,1,3,3,2,1,5,3,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,28,Business travel,Business,602,3,3,3,4,5,3,5,5,3,5,4,4,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,134,3,3,3,3,2,5,4,4,4,4,4,5,4,3,30,36.0,satisfied
Male,Loyal Customer,28,Business travel,Business,2837,4,5,5,5,4,4,4,4,3,1,2,3,3,4,34,37.0,neutral or dissatisfied
Female,Loyal Customer,28,Personal Travel,Eco,545,1,5,1,1,4,1,4,4,1,1,5,4,4,4,0,2.0,neutral or dissatisfied
Female,Loyal Customer,32,Personal Travel,Eco,1023,2,4,2,2,2,3,3,3,5,5,4,3,3,3,156,152.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,3309,4,4,4,4,3,4,4,4,4,5,4,4,4,3,18,0.0,satisfied
